Deletions;5' breakpoint;3' breakpoint;Deletion length - bp;Deletion of replication origins;Location of the deleted region;Single mtDNA deletions;Multiple mtDNA deletions;Healthy tissues;Parkinson Disease;Inclusion Body Myositis;Tumour;Other clinical features;References
9067:15327;9067;15327;6259;None;Inside the major arc;;;;;;;Hippocampal tissue of patients(...);[330]
9070:13476;9070;13476;4405;None;Inside the major arc;;ad-PEO;;;;;;[176]
9079:15312;9079;15312;6232;None;Inside the major arc;;ad-PEO; Mitochondrial myopathy;;;;;Peripheral myopathy;[7; 284; 285]
9084:15438;9084;15438;6353;None;Inside the major arc;;ad/ar-PEO;;;;;Ptosis; Proximal limb weakness(...);[15]
9087:13155;9087;13155;4067;None;Inside the major arc;;;;;Inclusion body myopathy (ad);;;[22]
9097:15439;9097;15439;6341;None;Inside the major arc;;;;;;;Skeletal muscle biopsies and �(...);[329]
9143:13333;9143;13333;4189;None;Inside the major arc;;;;;Inclusion body myopathy (ad);;;[22]
9144:13816;9144;13816;4671;None;Inside the major arc;KSS;;;;;;;[118; 265]
9180:14281;9180;14281;5100;None;Inside the major arc;KSS; PEO;;;;;;;[11]
9191:12909;9191;12909;3717;None;Inside the major arc;;Mitochondrial myopathy;;;;;;[110]
9191:15322;9191;15322;6130;None;Inside the major arc;;;Unfertilized oocytes, arrested(...);;;;;[21]
9194:15323;9194;15323;6128;None;Inside the major arc;;ad-PEO; Mitochondrial myopathy;;;;;Peripheral myopathy;[7; 284; 285]
9217:16076;9217;16076;6858;None;Inside the major arc;;;;;;;Hippocampal tissue of patients(...);[330]
9232:15761;9232;15761;6528;None;Inside the major arc;;Patients with pathogenic POLG (...);;;;;;[327]
9233:15574;9233;15574;6340;None;Inside the major arc;;Patients with pathogenic POLG (...);;;;;;[327]
9238:15576;9238;15576;6337;None;Inside the major arc;PS;;;;;;;[299]
9246:13058;9246;13058;3811;None;Inside the major arc;;;Aged tissues;;;;;[9]
9253:14425;9253;14425;5171;None;Inside the major arc;;;Aged tissues;;;;;[6]
9258:13627;9258;13627;4368;None;Inside the major arc;KSS;;;;;;;[3]
9258:14429;9258;14429;5170;None;Inside the major arc;;;Aged tissues;;;;;[9]
9265:13635;9265;13635;4369;None;Inside the major arc;;;;;;;Multisystemic mitochondrial di(...);[322]
9268:16068;9268;16068;6799;None;Inside the major arc;;;;;Inclusion body myositis;;;[24]
9281:13810;9281;13810;4528;None;Inside the major arc;;Mitochondrial myopathy;;;;;Peripheral myopathy;[7]
9282:16072;9282;16072;6789;None;Inside the major arc;;;;;;;Hippocampal tissue of patients(...);[330]
9320:14273;9320;14273;4952;None;Inside the major arc;PEO;;;;;;;[130]
9324:15335;9324;15335;6010;None;Inside the major arc;;;;;;;Hippocampal tissue of patients(...);[330]
9335:13588;9335;13588;4252;None;Inside the major arc;;;;;;Human SH-SY5Y cells;;[331]
9337:15748;9337;15748;6410;None;Inside the major arc;;;;;;;Hippocampal tissue of patients(...);[330]
9341:13987;9341;13987;4645;None;Inside the major arc;;;;;;;Hippocampal tissue of patients(...);[330]
9345:13148;9345;13148;3802;None;Inside the major arc;;;Aged tissues;;;;;[9]
9351:13154;9351;13154;3802;None;Inside the major arc;;;Aged tissues;;;;;[9]
9357:13865;9357;13865;4507;None;Inside the major arc;PEO;;;;;;;[119; 265]
9360:13737;9360;13737;4376;None;Inside the major arc;;;;;;Human SH-SY5Y cells;;[331]
9362:13737;9362;13737;4374;None;Inside the major arc;;;;;;Human SH-SY5Y cells;;[331]
9383:16072;9383;16072;6688;None;Inside the major arc;;;;;;;Hippocampal tissue of patients(...);[330]
9399:14605;9399;14605;5205;None;Inside the major arc;;Patients with pathogenic POLG (...);;;;;;[327]
9403:13767;9403;13767;4363;None;Inside the major arc;;;;;;Human SH-SY5Y cells;;[331]
9409:13749;9409;13749;4339;None;Inside the major arc;;;;;;Human SH-SY5Y cells;;[331]
9414:13756;9414;13756;4341;None;Inside the major arc;;;;;;Human SH-SY5Y cells;;[331]
9417:13684;9417;13684;4266;None;Inside the major arc;;Multiple deletion patient (POL(...);;;;;PEO, Parkinson;[33]
9417:13756;9417;13756;4338;None;Inside the major arc;;;;;;Human SH-SY5Y cells;;[331]
9431:15423;9431;15423;5991;None;Inside the major arc;PEO;;;;;;;[333]
9436:15913;9436;15913;6476;None;Inside the major arc;;;Aged tissues;;;;;[17]
9440:14083;9440;14083;4642;None;Inside the major arc;;Mitochondrial myopathy;Unfertilized oocytes, arrested(...);;;;Peripheral myopathy;[7; 21]
9444:13964;9444;13964;4519;None;Inside the major arc;;Mitochondrial myopathy;;;;;Peripheral myopathy;[7]
9449:14444;9449;14444;4994;None;Inside the major arc;;;;;;;Skeletal muscle biopsies and �(...);[329]
9484:13724;9484;13724;4239;None;Inside the major arc;KSS;;;;;;;[153]
9486:9502;9486;9502;15;None;Inside the major arc;;;;;;Osteosarcoma cell line;Recurrent myoglobinuria; Mitoc(...);[268-271]
9490:16072;9490;16072;6581;None;Inside the major arc;;;;;;;Myopathic symptoms;[29]
9497:13735;9497;13735;4237;None;Inside the major arc;KSS; PEO; PS;Mitochondrial myopathy;Aged tissues; Unfertilized ooc(...);;;;Peripheral myopathy; Mitochond(...);[7; 18; 21; 26; 32; 280; 330]
9506:14158;9506;14158;4651;None;Inside the major arc;;Patients with pathogenic POLG (...);;;;;;[327]
9506:16295;9506;16295;6788;None;Inside the major arc;;;;;;;Skeletal muscle biopsies and �(...);[329]
9514:13052;9514;13052;3537;None;Inside the major arc;PEO;;;;;;;[44]
9515:13055;9515;13055;3539;None;Inside the major arc;;;;;;;Ocular myopathy;[112]
9519:15639;9519;15639;6119;None;Inside the major arc;PEO;Mitochondrial myopathy;;;;;;[322]
9519:15980;9519;15980;6460;None;Inside the major arc;;;;;;;Hippocampal tissue of patients(...);[330]
9532:14135;9532;14135;4602;None;Inside the major arc;;Mitochondrial myopathy;;;;;Peripheral myopathy;[7]
9537:15519;9537;15519;5981;None;Inside the major arc;;;Aged tissues;;;;;[290]
9538:15537;9538;15537;5998;None;Inside the major arc;;;Aged tissues;;;;;[290]
9538:15658;9538;15658;6119;None;Inside the major arc;;;Aged tissues;;;;;[290]
9541:13837;9541;13837;4295;None;Inside the major arc;;;;;;Human SH-SY5Y cells;;[331]
9543:13855;9543;13855;4311;None;Inside the major arc;;;;;;Human SH-SY5Y cells;;[331]
9560:16075;9560;16075;6514;None;Inside the major arc;;;;;;;Hippocampal tissue of patients(...);[330]
9570:13286;9570;13286;3715;None;Inside the major arc;;;;;;Human SH-SY5Y cells;;[331]
9574:10166;9574;10166;591;None;Inside the major arc;;;Aged tissues;;;;;[14]
9574:12972;9574;12972;3397;None;Inside the major arc;;;Aged tissues;;;;;[111]
9574:13951;9574;13951;4376;None;Inside the major arc;;Mitochondrial myopathy;;;;;Peripheral myopathy;[7]
9576:13942;9576;13942;4365;None;Inside the major arc;;;Aged tissues;;;;;[32]
9581:14499;9581;14499;4917;None;Inside the major arc;;Patients with pathogenic POLG (...);;;;;;[327]
9584:13669;9584;13669;4084;None;Inside the major arc;;;;;;Human SH-SY5Y cells;;[331]
9587:13953;9587;13953;4365;None;Inside the major arc;;;Aged tissues; Unfertilized ooc(...);;;;;[9; 21 ]
9591:13052;9591;13052;3460;None;Inside the major arc;;;;;;;Myotonic dystrophy;[278]
9597:15268;9597;15268;5670;None;Inside the major arc;;Patients with pathogenic POLG (...);;;;;Hippocampal tissue of patients(...);[327; 330]
9603:14141;9603;14141;4537;None;Inside the major arc;;Mitochondrial myopathy;Aged tissues;;;;Peripheral myopathy;[6; 7]
9609:14147;9609;14147;4537;None;Inside the major arc;;Mitochondrial myopathy;;;;;Peripheral myopathy;[7]
9619:15835;9619;15835;6215;None;Inside the major arc;PEO;;;;;;;[322]
9622:15812;9622;15812;6189;None;Inside the major arc;;;Aged tissues;;;;;[290]
9625:15435;9625;15435;5809;None;Inside the major arc;;;Aged tissues;;;;;[290]
9650:14603;9650;14603;4952;None;Inside the major arc;;;;;;;Skeletal muscle biopsies and �(...);[329]
9658:13811;9658;13811;4152;None;Inside the major arc;;;;;;Human SH-SY5Y cells;;[331]
9659:11536;9659;11536;1876;None;Inside the major arc;;;;Parkinson Disease;;;;[33]
9660:13746;9660;13746;4085;None;Inside the major arc;;;;;;Human SH-SY5Y cells;;[331]
9665:15183;9665;15183;5517;None;Inside the major arc;;;Aged tissues;;;;;[9]
9698:13735;9698;13735;4036;None;Inside the major arc;;;Unfertilized oocytes, arrested(...);;;;;[21]
9720:16003;9720;16003;6282;None;Inside the major arc;;;;;;;Hippocampal tissue of patients(...);[330]
9729:15338;9729;15338;5608;None;Inside the major arc;;;;Parkinson Disease;;;;[33]
9744:14439;9744;14439;4694;None;Inside the major arc;;;Aged tissues;;;;;[32]
9762:13455;9762;13455;3692;None;Inside the major arc;PEO;;;;;;;[305]
9773:13756;9773;13756;3982;None;Inside the major arc;;;Aged tissues;;;;;[9]
9793:14929;9793;14929;5135;None;Inside the major arc;;;;;;;Hippocampal tissue of patients(...);[330]
9799:15557;9799;15557;5757;None;Inside the major arc;;;Aged tissues;;;;;[9]
9812:16073;9812;16073;6260;None;Inside the major arc;;;;;;;Hippocampal tissue of patients(...);[330]
9816:15744;9816;15744;5927;None;Inside the major arc;PEO;;;;;;;[26]
9845:16065;9845;16065;6219;None;Inside the major arc;;ad-PEO;;;;;;[279]
9860:15026;9860;15026;5165;None;Inside the major arc;;;Aged tissues;;;;;[32]
9890:15267;9890;15267;5376;None;Inside the major arc;;;;;;;Skeletal muscle biopsies and �(...);[329]
9923:16073;9923;16073;6149;None;Inside the major arc;;;Aged tissues;;;;;[9]
9923:16084;9923;16084;6160;None;Inside the major arc;;;;;;;Hippocampal tissue of patients(...);[330]
9924:15194;9924;15194;5269;None;Inside the major arc;;;Aged tissues;;;;;[33]
9966:15801;9966;15801;5834;None;Inside the major arc;;ad-PEO;;;;;;[279]
9995:15897;9995;15897;5901;None;Inside the major arc;PS;;;;;;;[107; 116; 265]
10004:15360;10004;15360;5355;None;Inside the major arc;PEO; PS;;;;;;;[297]
10049:15331;10049;15331;5281;None;Inside the major arc;;;;;;;Hippocampal tissue of patients(...);[330]
10051:15077;10051;15077;5025;None;Inside the major arc;KSS;;;;;;SNHL;[61; 276]
10053:13412;10053;13412;3358;None;Inside the major arc;PS;;;;;;;[322]
10058:13378;10058;13378;3319;None;Inside the major arc;PS;;;;;;Multisytemic mitochondrial dis(...);[322]
10060:14980;10060;14980;4919;None;Inside the major arc;;;;;;;Multisystemic mitochondrial di(...);[322]
10063:14598;10063;14598;4534;None;Inside the major arc;KSS;;;;;;Isolated mitochondrial myopath(...);[40; 41]
10071:14622;10071;14622;4550;None;Inside the major arc;;Multiple deletion patient (POL(...);;;;;PEO, Parkinson;[33]
10080:14959;10080;14959;4878;None;Inside the major arc;PEO;;;;;;Diabetes and deafness;[153]
10104:11868;10104;11868;1763;None;Inside the major arc;;;;Parkinson Disease;;;;[33]
10154:15945;10154;15945;5790;None;Inside the major arc;PEO; KSS;;;;;;;[40; 138; 161]
10169:14435;10169;14435;4265;None;Inside the major arc;KSS; PEO;;;;;;;[11]
10186:13759;10186;13759;3572;None;Inside the major arc;;;Aged tissues;;;;;[14]
10198:13761;10198;13761;3562;None;Inside the major arc;PS;;;;;;;[107; 116; 265]
10207:13766;10207;13766;3558;None;Inside the major arc;KSS;;;;;;;[36]
10227:13623;10227;13623;3395;None;Inside the major arc;;;;;;;Progressive muscular atrophy;[321]
10272:15583;10272;15583;5310;None;Inside the major arc;;;;;;;Hippocampal tissue of patients(...);[330]
10291:13633;10291;13633;3341;None;Inside the major arc;;;;;;;Skeletal muscle biopsies and �(...);[329]
10293:16073;10293;16073;5779;None;Inside the major arc;;Patients with pathogenic POLG (...);;;;;;[327]
10307:15239;10307;15239;4931;None;Inside the major arc;;;;;;;Hippocampal tissue of patients(...);[330]
10367:12829;10367;12829;2461;None;Inside the major arc;PS;;;;;;;[158]
10370:15570;10370;15570;5199;None;Inside the major arc;KSS;;;;;;;[40]
10418:15570;10418;15570;5151;None;Inside the major arc;PS;;;;;;;[3]
10476:15557;10476;15557;5080;None;Inside the major arc;;Patients with pathogenic POLG (...);;;;;;[327]
10497:14760;10497;14760;4262;None;Inside the major arc;;;Aged tissues;;;;;[9]
10559:14981;10559;14981;4421;None;Inside the major arc;PS; KSS;;;;;;;[3]
10587:15913;10587;15913;5325;None;Inside the major arc;KSS;;;;;;;[40]
10598:13206;10598;13206;2607;None;Inside the major arc;;;;;;;Chronic tubulointerstitial nep(...);[113]
10625:13059;10625;13059;2433;None;Inside the major arc;KSS;;;;;;;[26]
10667:14854;10667;14854;4186;None;Inside the major arc;;;;;;Human SH-SY5Y cells;;[331]
10668:14859;10668;14859;4190;None;Inside the major arc;PS;;;;;;Chronic diarrhea and villous a(...);[107; 116; 135]
10676:14868;10676;14868;4191;None;Inside the major arc;PS;;;;;;;[125]
10746:14125;10746;14125;3378;None;Inside the major arc;;Mitochondrial myopathy;;;;;Peripheral myopathy;[7]
10749:14129;10749;14129;3379;None;Inside the major arc;;;Aged tissues;;;;Chronic diarrhea and villous a(...);[6; 135; 265]
10752:14131;10752;14131;3378;None;Inside the major arc;;;;;;;Hippocampal tissue of patients(...);[330]
10757:16075;10757;16075;5317;None;Inside the major arc;;;;;;;Hippocampal tissue of patients(...);[330]
10758:14138;10758;14138;3379;None;Inside the major arc;;Mitochondrial myopathy;;;;;Peripheral myopathy;[7]
10793:14592;10793;14592;3798;None;Inside the major arc;;;;;;Human SH-SY5Y cells;;[331]
10808:14774;10808;14774;3965;None;Inside the major arc;;;;;;Human SH-SY5Y cells;;[331]
10873:15573;10873;15573;4699;None;Inside the major arc;;Patients with pathogenic POLG (...);;;;;;[327]
10891:16075;10891;16075;5183;None;Inside the major arc;PS;;;;;;;[322]
10900:16083;10900;16083;5182;None;Inside the major arc;;;;;;;Hippocampal tissue of patients(...);[330]
10904:16084;10904;16084;5179;None;Inside the major arc;;;;;;;Hippocampal tissue of patients(...);[330]
10925:14152;10925;14152;3226;None;Inside the major arc;;Mitochondrial myopathy;;;;;Peripheral myopathy;[7]
10935:13773;10935;13773;2837;None;Inside the major arc;PEO;;;;;;Skeletal muscle symptoms;[18]
10939:15530;10939;15530;4590;None;Inside the major arc;;;Aged tissues;;;;;[9]
10940:15546;10940;15546;4605;None;Inside the major arc;;;Aged tissues;;;;;[9]
10940:14772;10940;14772;3831;None;Inside the major arc;;;;;;Human SH-SY5Y cells;;[331]
10943:15372;10943;15372;4428;None;Inside the major arc;;;;;;;Cyclic vomiting syndrome;[139]
10946:13781;10946;13781;2834;None;Inside the major arc;;;Aged tissues;;;;;[6]
10946:15363;10946;15363;4416;None;Inside the major arc;;;;;;;Multisystemic mitochondrial di(...);[322]
10951:15372;10951;15372;4420;None;Inside the major arc;PEO; KSS;;;;;;Skeletal muscle biopsies and �(...);[18; 26; 40; 44; 265; 329]
10952:13990;10952;13990;3037;None;Inside the major arc;KSS;;;;;;;[3]
10952:15373;10952;15373;4420;None;Inside the major arc;PEO;;;;;;;[40]
10953:14133;10953;14133;3179;None;Inside the major arc;;;;;;;Multiorgan involvement (Sporad(...);[18]
10953:15837;10953;15837;4883;None;Inside the major arc;KSS;;;;;;Mitochondrial myopathy; Multis(...);[136; 137]
10956:13992;10956;13992;3035;None;Inside the major arc;;;;;;;Multisystemic mitochondrial di(...);[322]
10961:15846;10961;15846;4884;None;Inside the major arc;;;;;;;Mitochondrial myopathy; COX de(...);[108; 265; 329]
10969:14119;10969;14119;3149;None;Inside the major arc;KSS;;;;;;Cyclic vomiting syndrome;[127]
10984:15543;10984;15543;4558;None;Inside the major arc;;;Aged tissues;;;;;[9]
10984:16072;10984;16072;5087;None;Inside the major arc;;;;;;;Skeletal muscle biopsies and �(...);[329]
10985:14939;10985;14939;3953;None;Inside the major arc;;;;;;;Hippocampal tissue of patients(...);[330]
11035:15159;11035;15159;4123;None;Inside the major arc;;;;;;;Cerebral folate deficiency and(...);[293]
11035:15183;11035;15183;4147;None;Inside the major arc;PEO;;;;;;;[153]
11036:15028;11036;15028;3991;None;Inside the major arc;KSS;;;;;;;[18]
11036:15441;11036;15441;4404;None;Inside the major arc;PS;;;;;;;[2]
11065:15860;11065;15860;4794;None;Inside the major arc;;;Aged tissues;;;;;[9]
11200:15959;11200;15959;4758;None;Inside the major arc;;;;;;;Hippocampal tissue of patients(...);[330]
11232:13980;11232;13980;2747;None;Inside the major arc;PS;;;;;;Diabetes mellitus and deafness;[116; 123-125; 265]
11240:15036;11240;15036;3795;None;Inside the major arc;;;Aged tissues;;;;;[6]
11258:14369;11258;14369;3110;None;Inside the major arc;KSS;;;;;;;[30]
11262:15362;11262;15362;4099;None;Inside the major arc;;;;;;;Multisystemic mitochondrial di(...);[322]
11352:15733;11352;15733;4380;None;Inside the major arc;;;;;;;Hippocampal tissue of patients(...);[330]
11368:15786;11368;15786;4417;None;Inside the major arc;KSS; PEO;;;;;;;[11]
11431:16073;11431;16073;4641;None;Inside the major arc;;Patients with pathogenic POLG (...);;;;;;[327]
11479:16071;11479;16071;4591;None;Inside the major arc;;MNGIE;;;;;;[25; 282]
11514:13810;11514;13810;2295;None;Inside the major arc;;;Aged tissues;;;;;[9]
11570:15758;11570;15758;4187;None;Inside the major arc;;;;;;;Hippocampal tissue of patients(...);[330]
11648:13811;11648;13811;2162;None;Inside the major arc;;;Aged tissues;;;;;[6]
11668:15916;11668;15916;4247;None;Inside the major arc;KSS;;;;;;;[18]
11680:14258;11680;14258;2577;None;Inside the major arc;PEO;;;;;;;[18]
11714:15435;11714;15435;3720;None;Inside the major arc;;;;;;;Skeletal muscle biopsies and �(...);[329]
11724:15444;11724;15444;3719;None;Inside the major arc;;Patients with pathogenic POLG (...);;;;;;[327]
11731:14450;11731;14450;2718;None;Inside the major arc;KSS;;;;;;;[26]
11739:15572;11739;15572;3832;None;Inside the major arc;;;Aged tissues;;;;;[9]
11986:13792;11986;13792;1805;None;Inside the major arc;;;Aged tissues;;;;;[6]
12021:16075;12021;16075;4053;None;Inside the major arc;;;Aged tissues;;;;;[6]
12084:15854;12084;15854;3769;None;Inside the major arc;;;Aged tissues;;;;;[9]
12103:14414;12103;14414;2310;None;Inside the major arc;KSS; PEO;;;;;;;[11; 265]
12104:14413;12104;14413;2308;None;Inside the major arc;KSS; PS; PEO;;;;;;Reye-like; MELAS; LS; Mitochon(...);[45-48; 107]
12112:14422;12112;14422;2309;None;Inside the major arc;KSS; PEO; PS;;;;;;Reye-like; MELAS; LS; Multisys(...);[26; 40; 44-48; 322]
12113:14421;12113;14421;2307;None;Inside the major arc;PS;;;;;;;[3]
12113:14422;12113;14422;2308;None;Inside the major arc;PS;;;;;;;[107]
12122:15844;12122;15844;3721;None;Inside the major arc;KSS;;;;;;;[29]
12133:16299;12133;16299;4165;None;Inside the major arc;;;;;;;Skeletal muscle biopsies and �(...);[329]
12203:15355;12203;15355;3151;None;Inside the major arc;PEO; KSS;;;;;;Isolated mitochondrial myopath(...);[41; 138]
12291:14191;12291;14191;1899;None;Inside the major arc;;;;;;Human SH-SY5Y cells;;[331]
12439:15390;12439;15390;2950;None;Inside the major arc;PEO;;;;;;Chronic fatigue syndrome; Axia(...);[153]
12544:15525;12544;15525;2980;None;Inside the major arc;;;Aged tissues;;;;;[6]
13761:14252;13761;14252;490;None;Inside the major arc;;Mitochondrial myopathy;;;;;Peripheral myopathy;[7]
14286:16265;14286;16265;1978;None;Inside the major arc;;Patients with pathogenic MGME1(...);;;;;;[327]
14786:14791;14786;14791;4;None;Inside the major arc;;;;Parkinson Disease;;;MELAS;[273]
14927:14943;14927;14943;15;None;Inside the major arc;;;;;;Thyroid tumor;;[49]
15497:15522;15497;15522;24;None;Inside the major arc;;;;;;;Chronic fatigue syndrome; Hist(...);[272; 287; 288]
15591:16413;15591;16413;821;None;Inside the major arc;;;;;;Lung cancer;;[316]
15643:15665;15643;15665;21;None;Inside the major arc;;;;;;Bladder, head and neck, and lu(...);;[51; 52]
16161:16342;16161;16342;180;None;Inside the major arc;;;;;;;Benign prostatic hyperplasia;[310]
16164:16319;16164;16319;154;None;Inside the major arc;;;Aged tissues; Controls;;;;;[9; 281]
16266:576;16266;576;878;OH;Removing part of minor and maj(...);;MNGIE;;;;;;[291]
Deletions;5' breakpoint;3' breakpoint;Deletion length - bp;Deletion of replication origins;Location of the deleted region;Single mtDNA deletions;Multiple mtDNA deletions;Healthy tissues;Parkinson Disease;Inclusion Body Myositis;Tumour;Other clinical features;References
